parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
0.8912509381337456,2,53338,250,0,31.923279878292316,30.65130422059852,1.701977189444664,100.67704562526039,0.0010867974667638498,0.0010805130004882812,0.0007576942443847656,0.00715184211730957
0.9085175756516868,13,53338,239,0,31.89153756434685,30.61981783664904,1.7019771942136195,100.67704562522687,0.0011419179862305158,0.0011005401611328125,0.0007531642913818359,0.0027799606323242188
0.9261187281287935,23,53335,229,3,31.90385225308849,30.630764191989606,1.701977190686924,100.67704562301141,0.0010811733775617754,0.0010766983032226562,0.0007500648498535156,0.0015685558319091797
0.9440608762859234,72,53316,180,22,31.747027760776223,30.532453945436803,1.7416679091625016,100.67610348503217,0.0010925030146923735,0.0010776519775390625,0.0007593631744384766,0.0022644996643066406
0.9623506263980885,187,52836,65,502,31.35326549574998,30.326470771885383,2.0262098324420266,73.12339017695028,0.0011656953416610783,0.0010898113250732422,0.0007741451263427734,0.002465486526489258
0.9809947127268773,252,31616,0,21722,31.90831444146581,30.14392311121113,1.9226922612119894,165.07497613267833,0.0014635058104676846,0.0014612674713134766,0.0007948875427246094,0.002401590347290039
1.0,252,28,0,53310,997.9741992168646,1069.123083953913,19.968389270502044,1662.7398234054265,0.0014546381516390154,0.001451730728149414,0.0007953643798828125,0.004903078079223633
