parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,1,91,1,28,156.20590301490975,67.04801079472777,26.970593794727222,603.7066518968327,0.00825566053390503,0.00867927074432373,0.0019159317016601562,0.0137481689453125
1.7782794100389228,1,90,1,29,146.49442833662192,72.86358113342766,27.678402492202657,548.6627814604466,0.007860422134399414,0.008421659469604492,0.0012247562408447266,0.013373613357543945
3.1622776601683795,1,93,1,26,167.84057284946533,72.61542016977944,25.8040307178089,654.6132873074727,0.007523715496063232,0.008255243301391602,0.0007793903350830078,0.012804985046386719
5.623413251903491,1,96,1,23,146.19747897196962,65.58593424148708,25.8040307178089,553.1557093482772,0.006708621978759766,0.006624102592468262,0.0007770061492919922,0.012809276580810547
10.0,1,98,1,21,144.75137949125116,65.2123505437908,25.8040307178089,546.2987956423812,0.006373405456542969,0.005988955497741699,0.000774383544921875,0.012741327285766602
17.78279410038923,1,102,1,17,138.8432604463814,65.80593065783653,25.8040307178089,516.3440313937791,0.0051503777503967285,0.004105687141418457,0.0007719993591308594,0.01161813735961914
31.622776601683793,1,112,1,7,52.31504137962211,40.16315653099975,25.8040307178089,109.34571018681936,0.0019344091415405273,0.001590132713317871,0.0007784366607666016,0.0037789344787597656
56.23413251903491,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.000792384147644043,0.0007919073104858398,0.0007727146148681641,0.0008130073547363281
100.0,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.0007916688919067383,0.0007966756820678711,0.0007729530334472656,0.0008003711700439453
177.82794100389228,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.0007889270782470703,0.0007917881011962891,0.0007741451263427734,0.0007979869842529297
316.22776601683796,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.0007892847061157227,0.000792384147644043,0.0007746219635009766,0.0007977485656738281
562.341325190349,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.0007879137992858887,0.000789642333984375,0.0007712841033935547,0.00080108642578125
1000.0,0,119,2,0,50.12298127652841,35.79781723363677,25.8040307178089,106.41466478384213,0.0007911920547485352,0.0007940530776977539,0.0007779598236083984,0.0007987022399902344
