parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,19,7507,2,3795,34.76236781035231,33.19095530860013,6.574131115518098,293.35890963761204,0.009426014763968331,0.009464263916015625,0.0020644664764404297,0.0183408260345459
1.7782794100389228,19,8027,2,3275,34.50932474986077,33.25565067792469,6.598437737505764,231.49348823917012,0.007894401479824424,0.008045434951782227,0.0007617473602294922,0.016312360763549805
3.1622776601683795,19,8719,2,2583,34.14809939732014,32.8183089529258,6.353068563526709,209.344556093174,0.006075110341527779,0.006014466285705566,0.0007600784301757812,0.015246391296386719
5.623413251903491,18,9518,3,1784,34.1303598962586,32.56498379177422,7.338461639635163,205.51659982097874,0.004244958238648663,0.0037664175033569336,0.0007541179656982422,0.014423370361328125
10.0,18,10209,3,1093,34.22188843641655,33.28900361778597,4.696070995245248,205.60080502740936,0.0028043404001320523,0.0019273757934570312,0.000751495361328125,0.012704610824584961
17.78279410038923,19,10736,2,566,34.05827097112991,33.02008075608758,10.416891888238487,170.41121565234639,0.0017945731214701836,0.0010492801666259766,0.0007529258728027344,0.009589672088623047
31.622776601683793,18,11059,3,243,34.21691781603315,32.52094540614112,8.14842184145579,170.51480148057303,0.0011896640796379503,0.0007982254028320312,0.0007550716400146484,0.009064912796020508
56.23413251903491,14,11225,7,77,34.81377594109702,32.735330355415364,6.759021572096884,169.8672786236348,0.0009178604398454938,0.0007866621017456055,0.0007536411285400391,0.008291006088256836
100.0,7,11273,14,29,35.37033980258208,32.75106115961649,8.694683303636088,157.3317995665159,0.0008602341994863426,0.0007822513580322266,0.0007331371307373047,0.008310794830322266
177.82794100389228,0,11291,21,11,35.657505169181256,33.08224301843008,9.453182168013672,157.33179956384762,0.0008044947544342191,0.0007798671722412109,0.000732421875,0.00783085823059082
316.22776601683796,0,11293,21,9,35.659307444526355,33.08224301843008,9.453182168013672,157.33179956384762,0.0008037008088210534,0.0007799863815307617,0.0007340908050537109,0.007579803466796875
562.341325190349,0,11294,21,8,35.6573367913076,33.08224301843008,9.45318216783451,157.33179956640373,0.0008010059741917502,0.0007804632186889648,0.0007305145263671875,0.0069179534912109375
1000.0,0,11296,21,6,35.657398205686846,33.08224301843008,9.453182168013672,157.33179956629152,0.0007993799125032472,0.0007810592651367188,0.0007321834564208984,0.006155967712402344
