parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,63,41425,5,13663,32.551397703608124,32.5447582428192,9.235912688275283,74.5975774425023,0.008242946499647836,0.007432103157043457,0.0007996559143066406,0.02854442596435547
1.7782794100389228,62,45874,6,9214,32.23373707722529,32.25068921665737,7.391167575747658,74.52585239909027,0.005612229861927801,0.0041152238845825195,0.0007600784301757812,0.029915571212768555
3.1622776601683795,62,49940,6,5148,31.892730211121627,31.758517118131792,8.16478905854313,79.14065021199607,0.0033315828946709498,0.002071976661682129,0.0006158351898193359,0.02447795867919922
5.623413251903491,62,52826,6,2262,31.464520681678472,31.478137280933815,7.433874269285053,75.58324436395162,0.0018418725532821463,0.0011943578720092773,0.0006864070892333984,0.02617359161376953
10.0,61,54225,7,863,31.20960828047386,31.23212485338506,6.05358476951127,74.92074867038343,0.0012133232606156923,0.0008554458618164062,0.0006930828094482422,0.014859437942504883
17.78279410038923,60,54753,8,335,31.38785635402523,31.354315990442267,5.1259663051010795,67.23697695572426,0.0010181812202971605,0.0008370876312255859,0.0007548332214355469,0.013117551803588867
31.622776601683793,56,54951,12,137,31.50000199549749,31.354315990442267,0.34699563797692035,64.00297120040912,0.000951540483841276,0.00083160400390625,0.0006291866302490234,0.028406381607055664
56.23413251903491,49,55033,19,55,31.793296784448973,31.489575421804737,0.34699563797692035,72.58604656340015,0.0009101519513322239,0.0008287429809570312,0.0006289482116699219,0.011377811431884766
100.0,35,55069,33,19,32.086447085238994,31.559886589038282,0.34699563797692035,83.53592461297931,0.000898196041515425,0.0008273124694824219,0.0006849765777587891,0.008629322052001953
177.82794100389228,20,55085,48,3,32.19014529870423,31.532907014067007,0.34699563797692035,132.7655534681902,0.0008815012537843202,0.0008258819580078125,0.0006816387176513672,0.0076847076416015625
316.22776601683796,10,55088,58,0,32.267070527058024,31.53729457833032,1.570543595664519,137.62678089220583,0.0008702378278497448,0.0008251667022705078,0.0006856918334960938,0.0067195892333984375
562.341325190349,3,55088,65,0,32.30312335138297,31.555417087100395,1.570543595664519,137.62678089220583,0.0008693408088113414,0.0008249282836914062,0.0006837844848632812,0.007266521453857422
1000.0,0,55087,68,1,32.41107061330138,31.564861124529177,1.570543595664519,151.54332752665718,0.0008806655541388158,0.0008246898651123047,0.0007154941558837891,0.016963481903076172
