parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,0,3183,0,1040,32.90982618079271,33.37601897984369,19.127211756265304,75.43567215930413,0.008783481954559079,0.009192705154418945,0.0008440017700195312,0.015076398849487305
1.7782794100389228,0,3575,0,648,32.59404058419816,33.03650857428657,20.642658346632146,69.88382374330524,0.005531681262380708,0.00546717643737793,0.0008158683776855469,0.011599063873291016
3.1622776601683795,0,3980,0,243,32.853290346101204,33.87397594125396,20.41432643831079,70.32234815343361,0.002403429853237741,0.0017249584197998047,0.0008060932159423828,0.010331869125366211
5.623413251903491,0,4164,0,59,33.579251394687795,34.32346347606952,13.879030559568541,70.46674991925184,0.0012077955695671764,0.0008640289306640625,0.0007646083831787109,0.009882450103759766
10.0,0,4199,0,24,33.93383651008,34.624158929641226,14.11680261627102,70.46324518071364,0.0010112843862394008,0.0008482933044433594,0.0007557868957519531,0.009468793869018555
17.78279410038923,0,4205,0,18,34.45342104399478,34.7557583084371,14.337180258584132,70.46324518158781,0.0009921372421388703,0.0008463859558105469,0.0007565021514892578,0.008913993835449219
31.622776601683793,0,4209,0,14,34.56678552970837,34.79632162335419,14.194253300606194,70.46324518158781,0.0009635095673847974,0.0008475780487060547,0.0007538795471191406,0.008901119232177734
56.23413251903491,0,4215,0,8,34.67710305690802,34.79632162321157,19.264721281165006,70.46324518158781,0.0009094156870027868,0.0008471012115478516,0.0007524490356445312,0.008395671844482422
100.0,0,4216,0,7,34.71275225358598,34.79632162200339,19.31618269789595,70.46324518158781,0.0008973900864763958,0.0008473396301269531,0.00075531005859375,0.007953405380249023
177.82794100389228,0,4217,0,6,34.7094744149434,34.79632162200339,19.315804484101264,70.0943070473479,0.0009348159883080459,0.0008451938629150391,0.0007550716400146484,0.007529258728027344
316.22776601683796,0,4217,0,6,34.7094744149434,34.79632162200339,19.315804484101264,70.0943070473479,0.0008883456873699902,0.0008459091186523438,0.0007529258728027344,0.007128715515136719
562.341325190349,0,4217,0,6,34.7094744149434,34.79632162200339,19.315804484101264,70.0943070473479,0.0009292393195919874,0.00084686279296875,0.0007576942443847656,0.0066416263580322266
1000.0,0,4218,0,5,34.70310327270415,34.79632162219356,19.32436135328536,69.92319632261533,0.0008719626480970926,0.0008449554443359375,0.0007522106170654297,0.005133152008056641
