parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
0.8912509381337456,0,54903,8,0,33.178268137098584,32.91502772879066,6.772033609675779,81.17900498336878,0.0010973449909325802,0.00109100341796875,0.0007796287536621094,0.0022482872009277344
0.9085175756516868,0,54903,8,0,33.178268137098584,32.91502772879066,6.772033609675779,81.17900498336878,0.001137201472966358,0.001096487045288086,0.0007727146148681641,0.007355213165283203
0.9261187281287935,0,54902,8,1,33.180608625199355,32.91502772879066,6.772033609675779,81.17900498336878,0.0010868191719055175,0.0010833740234375,0.0007750988006591797,0.002112150192260742
0.9440608762859234,1,54902,7,1,33.15502332984237,32.90258006252484,6.772033609675779,81.06462763821115,0.0010875202188588152,0.0010831356048583984,0.0007710456848144531,0.0029098987579345703
0.9623506263980885,7,54836,1,67,33.38786479204062,33.09047049773697,6.7725145033696075,69.69642673056525,0.001110381189018789,0.001084446907043457,0.0007760524749755859,0.022418975830078125
0.9809947127268773,7,37533,1,17370,31.09322468781592,30.035915213321186,0.9315743167311904,76.304710731996,0.0014878033387540567,0.0014719963073730469,0.0007748603820800781,0.019038915634155273
1.0,8,23,0,54880,1362.3703537303047,1511.6744726576621,1.3028452340981327,2639.798362440532,0.0014606433685379798,0.0014579296112060547,0.0007703304290771484,0.0025033950805664062
