parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,0,5336,0,1951,37.74340139203077,31.79626776879298,20.168177738563728,663.8336178549243,0.010668203830718995,0.011043906211853027,0.002307891845703125,0.019954442977905273
1.7782794100389228,0,5939,0,1348,37.75944251528176,31.7084513366823,22.516426764890717,654.4076285863617,0.007209581136703491,0.006902098655700684,0.0008625984191894531,0.017017126083374023
3.1622776601683795,0,6703,0,584,38.2942934423685,32.65347532511453,22.15890766718385,653.467555833199,0.0033772218227386473,0.002384781837463379,0.0008454322814941406,0.014251947402954102
5.623413251903491,0,7090,0,197,38.08499864203529,33.12997177417018,16.335975099445925,516.2313211093801,0.0016373956203460693,0.0008826255798339844,0.0007646083831787109,0.013761758804321289
10.0,0,7169,0,118,37.42735675996478,32.61786522719115,13.607049151354941,516.2312915100089,0.0013370633125305176,0.000872492790222168,0.0007565021514892578,0.013767719268798828
17.78279410038923,0,7202,0,85,37.799878151779424,32.75560152292742,13.607049149030644,516.2313222732814,0.0012278950214385986,0.0008682012557983398,0.0007524490356445312,0.013659477233886719
31.622776601683793,0,7208,0,79,37.232958748645885,32.755601525123836,13.607049147320472,516.2313222177304,0.0012052547931671142,0.0008692741394042969,0.0007498264312744141,0.013232707977294922
56.23413251903491,0,7227,0,60,37.157939556626474,32.755601525421085,13.607049147320472,482.9609186208561,0.001127605438232422,0.000868678092956543,0.0007503032684326172,0.012382745742797852
100.0,0,7242,0,45,37.15550096258543,32.61832210396303,13.607049147320472,482.96091861959655,0.0010704481601715088,0.0008687973022460938,0.0007536411285400391,0.011596441268920898
177.82794100389228,0,7244,0,43,37.02599557730924,32.61832210396303,13.607049147320472,482.96091861959655,0.001062852144241333,0.0008672475814819336,0.0007500648498535156,0.011113643646240234
316.22776601683796,0,7249,0,38,37.06764018811731,32.61832210447474,13.607049147115767,479.46019111085093,0.001042330265045166,0.0008666515350341797,0.00075531005859375,0.011165380477905273
562.341325190349,0,7253,0,34,37.05004823828317,32.61832210396303,13.607049149133,479.46019111027783,0.0010137391090393067,0.0008673667907714844,0.0007538795471191406,0.010639190673828125
1000.0,0,7265,0,22,36.464355168236374,32.499164573601696,13.607049146808706,426.4622009224438,0.0009626138210296631,0.0008677244186401367,0.0007503032684326172,0.009476661682128906
