parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max,time_avg,time_median,time_min,time_max
1.0,46,33930,0,10730,32.010720238650755,31.3357565920679,4.429764193795778,92.53742892389374,0.010148112366839154,0.009095430374145508,0.0008332729339599609,0.035064697265625
1.7782794100389228,46,37174,0,7486,32.28777084017375,31.65717682420185,4.530959661323525,88.59360988480519,0.007022476075976912,0.005890369415283203,0.0008237361907958984,0.023375988006591797
3.1622776601683795,46,40267,0,4393,32.83093713664253,32.24557134444643,11.131432576696309,88.58361594149382,0.004327413311919011,0.00350189208984375,0.0007939338684082031,0.027211666107177734
5.623413251903491,46,42608,0,2052,33.291301086932144,33.017960504554196,4.82523191758202,88.587372830574,0.0023658321723905905,0.0015454292297363281,0.0007874965667724609,0.022676706314086914
10.0,45,43803,1,857,33.87615076047535,33.35510143003286,3.942487696713762,81.46959582918726,0.0014624405147850865,0.000911712646484375,0.0007750988006591797,0.019861221313476562
17.78279410038923,45,44328,1,332,34.51745380434127,33.836917802257986,6.82992523836092,79.60482751539993,0.0011014810021531191,0.0008833408355712891,0.0007183551788330078,0.009496450424194336
31.622776601683793,26,44588,20,72,35.445810671450566,34.09703122018928,0.7200759660774136,89.24933328781592,0.0009315120161231372,0.00087738037109375,0.0007185935974121094,0.005491971969604492
56.23413251903491,11,44647,35,13,35.888023810446114,34.40232907702911,0.7200759652194536,93.43328166848418,0.0008989158450704948,0.0008742809295654297,0.0007178783416748047,0.009667634963989258
100.0,3,44659,43,1,36.14127656657272,34.42825752201672,0.7200759647744649,118.71334088313601,0.00087550811350496,0.000873565673828125,0.0007159709930419922,0.0018811225891113281
177.82794100389228,0,44660,46,0,36.3418468921588,34.555926716316215,0.7200759647744649,118.71334088313601,0.0008722596854297326,0.0008733272552490234,0.0007169246673583984,0.0016644001007080078
316.22776601683796,0,44660,46,0,36.3418468921588,34.555926716316215,0.7200759647744649,118.71334088313601,0.000871568893163118,0.0008738040924072266,0.0007126331329345703,0.0014777183532714844
562.341325190349,0,44660,46,0,36.3418468921588,34.555926716316215,0.7200759647744649,118.71334088313601,0.0008827655429695713,0.0008721351623535156,0.0007174015045166016,0.006287574768066406
1000.0,0,44660,46,0,36.3418468921588,34.555926716316215,0.7200759647744649,118.71334088313601,0.000874236414069584,0.0008730888366699219,0.0007169246673583984,0.0057756900787353516
