parameter,tp,tn,fn,fp,error_avg,error_median,error_min,error_max
0.01,701,18629,94,2534,8.177712543826841,7.280078256983016,0.0661515715887548,61.87875961146778
0.015848931924611134,701,18662,94,2501,8.144993963653844,7.240379578751722,0.027630671976684545,61.83912615815228
0.025118864315095794,702,18702,93,2461,8.132001175269657,7.180745412726406,0.04648985660622035,61.841301537082806
0.039810717055349734,702,18787,93,2376,8.103527553418278,7.146975151485309,0.1925024347476299,61.846826944065995
0.06309573444801933,700,18931,95,2232,8.099097272904906,7.116583123883908,0.21646775651652098,61.846981390682345
0.1,686,19079,109,2084,8.255004216348516,7.377790251163531,0.26343850378186306,61.77368972878042
0.15848931924611143,667,19339,128,1824,8.437749677076269,7.458942875877337,0.07294344495665335,61.726354418683854
0.25118864315095807,632,19771,163,1392,8.546714993562226,7.704362014052425,0.19865826614961227,61.340553462354094
0.3981071705534973,591,20153,204,1010,8.470378898407395,7.9991110867687505,0.020613798821084526,61.46033121899523
0.6309573444801934,520,20503,275,660,8.691413969879694,8.431782162014507,0.1585542257570254,61.49664353167458
1.0,427,20755,368,408,9.163433810940974,8.721123767464137,0.2921095760330469,56.329410435040344
1.584893192461114,324,20915,471,248,9.569992991660804,9.04442598193852,0.18417476431839327,61.13371469007532
2.5118864315095824,172,21082,623,81,10.000759502805076,9.340901055147215,0.20197936602963307,61.12538449482518
3.981071705534973,53,21142,742,21,10.1869485315973,9.525894978526086,0.36953243893729226,64.48860921960029
6.309573444801936,5,21159,790,4,10.239422382446126,9.523963862621617,0.3405086682166096,49.195620467500206
10.0,0,21162,795,1,10.244721203755853,9.531664648600866,0.33530867774330997,49.19555599623993
15.848931924611142,0,21163,795,0,10.243911762224048,9.531664834427389,0.33530867774330997,48.97874481886281
25.11886431509582,0,21163,795,0,10.243911762224048,9.531664834427389,0.33530867774330997,48.97874481886281
39.810717055349734,0,21163,795,0,10.243911762224048,9.531664834427389,0.33530867774330997,48.97874481886281
63.095734448019364,0,21163,795,0,10.243911762224048,9.531664834427389,0.33530867774330997,48.97874481886281
100.0,0,21163,795,0,10.243911762224048,9.531664834427389,0.33530867774330997,48.97874481886281
