31,32,40,41,38,39,36,35,37,34,42,43
0.08119368553161621,0.08437299728393555
0.07429146766662598,0.08425641059875488,0.08556246757507324,0.0693354606628418
0.09109282493591309,0.10031390190124512,0.15924549102783203,0.08869171142578125,0.09449005126953125,0.09323906898498535,0.0904083251953125,0.09585976600646973,0.09572839736938477,0.09717965126037598,0.10100245475769043,0.09447455406188965
0.09014725685119629,0.09904980659484863,0.08852410316467285,0.09083294868469238,0.10450029373168945,0.10079288482666016,0.09503412246704102,0.09880208969116211
0.09980607032775879,0.08591175079345703,0.09001612663269043,0.08559274673461914,0.0861976146697998,0.16886544227600098,0.08075332641601562,0.09064602851867676,0.09414100646972656,0.09139370918273926,0.09646892547607422,0.0905923843383789,0.0963447093963623,0.08318185806274414,0.09061980247497559
0.08791923522949219,0.09076666831970215,0.09404873847961426,0.09828019142150879,0.09445738792419434,0.08745670318603516
0.08447933197021484,0.08972477912902832,0.08456563949584961,0.07703328132629395,0.0875542163848877,0.08408331871032715,0.08959460258483887,0.09603190422058105,0.0857851505279541
0.08321285247802734,0.0892939567565918,0.08508467674255371,0.0962822437286377,0.0854790210723877,0.08171272277832031
0.09518051147460938,0.10062766075134277,0.09196901321411133,0.08876609802246094,0.09990167617797852,0.08570075035095215,0.0859375,0.08772802352905273,0.08690023422241211,0.08965682983398438,0.07654690742492676,0.09301114082336426,0.08499622344970703,0.09898853302001953
0.08023428916931152,0.08133625984191895,0.08683419227600098
0.09899139404296875,0.10067629814147949
0.09545660018920898
