31,32,40,41,38,39,36,35,37,34,42,43
0.0008461475372314453,0.0008335113525390625
0.0008337497711181641,0.0008349418640136719,0.0008366107940673828,0.0008394718170166016
0.0009298324584960938,0.000965118408203125,0.0013942718505859375,0.0009386539459228516,0.0009357929229736328,0.0009510517120361328,0.0009357929229736328,0.0009522438049316406,0.0009350776672363281,0.0009267330169677734,0.0009312629699707031,0.0009348392486572266
0.0009481906890869141,0.0009551048278808594,0.0009500980377197266,0.0009582042694091797,0.0009500980377197266,0.00095367431640625,0.00103759765625,0.0009772777557373047
0.0009131431579589844,0.0009138584136962891,0.0009069442749023438,0.00092315673828125,0.0009036064147949219,0.0016720294952392578,0.0009133815765380859,0.0009212493896484375,0.0009157657623291016,0.0009102821350097656,0.0009067058563232422,0.0009081363677978516,0.0009167194366455078,0.0009083747863769531,0.0009071826934814453
0.0009315013885498047,0.0009202957153320312,0.0009157657623291016,0.00090789794921875,0.0009126663208007812,0.0009179115295410156
0.0009138584136962891,0.0009205341339111328,0.0009152889251708984,0.0009131431579589844,0.0009138584136962891,0.0009186267852783203,0.0009131431579589844,0.0009133815765380859,0.0009255409240722656
0.0008544921875,0.0008718967437744141,0.0008571147918701172,0.00086212158203125,0.0008685588836669922,0.0008542537689208984
0.0009100437164306641,0.0008912086486816406,0.0008826255798339844,0.0008971691131591797,0.0008981227874755859,0.0008974075317382812,0.0008935928344726562,0.0009396076202392578,0.0009069442749023438,0.0008966922760009766,0.0009131431579589844,0.0008857250213623047,0.0009038448333740234,0.0008983612060546875
0.0008559226989746094,0.0008540153503417969,0.0008647441864013672
0.0009632110595703125,0.0009644031524658203
0.0009608268737792969
